"FECHA","TRANSACCIÓN","CUENTA","DESCRIPCIÓN","VALOR"
"1/4/2024","Egreso","Suministros","8 Bombillas tubulares con filamento 250 lm 2100 ºk","47.08"
"1/2/2024","Egreso","Asesoría Contable","Asesoría fiscal","150.00"
"1/1/2024","Egreso","Teléfono/internet","Teléfono e internet","61.52"
"9/1/2024","Ingreso","Comisiones","Innovamer productos para Bella Ciao","€37.65"
"1/2/2024","Egreso","Gastos oficina","prueba dos egrsos","1.10"
"1/7/2024","Egreso","Suministros","Pago de cuadros y 56 euros más para gastos personales","380.00"
"1/3/2024","Egreso","Gastos de Grima","Gastos personales","200.00"
"03/01/2024 15:26:26","Ingreso","Comisiones","Comisión Bella Ciao Juan Placeres","€2,125.00"
"1/2/2024","Egreso","Gastos oficina","Pago primer plazo ordenador","293.28"
"1/2/2024","Egreso","Gastos de Grima","Personales","500.00"
"1/1/2024","Egreso","Almacenamiento nube","iCloud","9.99"
"1/5/2024","Egreso","Gasolina","Petroprix","29.79"
"1/10/2024","Egreso","Suministros","Tiras neón para arcos. Dielca","513.00"
"1/10/2024","Egreso","Suministros","2 Bombillas Dielca","9.48"
"1/13/2024","Egreso","Suministros","2 cuadros Ikea","8.00"
"1/13/2024","Egreso","Suministros","tornillos y cáncamos Leroy","28.91"
"1/12/2024","Egreso","Gastos de Grima","Consulta fisioterapia","35.00"
"1/15/2024","Egreso","Gastos de Grima","Inversión Madeira Invest Club","1000.00"
"1/16/2024","Egreso","Suministros","40 Bombillas guirnaldas","170.77"
"16/01/2024 14:08:20","Ingreso","Suministros","Devolución de cable de tira neon","€4.59"
"18/01/2024 9:11:01","Ingreso","Suministros","Suministros varios Sauche","€423.62"
"1/26/2024","Egreso","Suministros","Cinta y brochas para pintar neones","13.50"
"1/19/2024","Egreso","Suministros","Cuerda de lino","23.43"
"1/18/2024","Egreso","Suministros","Pintura Greige","8.97"
"1/18/2024","Egreso","Suministros","Leroy pintura neones y cintas","56.22"
"31/01/2024 12:25:23","Ingreso","Comisiones","Comisión Carlos Bella Ciao","€1,944.88"
"2/1/2024","Egreso","Gastos de Grima","mensualidad","800.00"
"1/30/2024","Egreso","Gastos de Grima","Inversión","2000.00"
"1/19/2024","Egreso","Gastos oficina","Trastero","94.50"
"1/24/2024","Egreso","Gastos oficina","Bombillas -hierro","27.10"
"1/25/2024","Egreso","Gastos oficina","Bombillas Hierro","6.85"
"1/26/2024","Egreso","Gastos de Grima","Fisioterapia","35.00"
"1/26/2024","Egreso","Gasolina","Petroprix Arinaga","26.75"
"1/30/2024","Egreso","Gastos de Grima","Inversión","2000.00"
"1/30/2024","Egreso","Gastos oficina","2 Letra Ordenador","135.15"
"1/31/2024","Egreso","Impuestos","IGIC a cuenta de buen recaudo","147.98"
"2/1/2024","Egreso","Gastos oficina","Trastero feb","94.50"
"02/02/2024 10:12:52","Ingreso","Venta de decorativos","Octavia por Grupo 1844","€412.25"
"03/02/2024 14:43:38","Ingreso","Venta de decorativos","Ingreso Sauche proyecto y suministros","€7,217.96"
"03/02/2024 14:44:18","Ingreso","Comisiones","comisión Octavia de guaguas","€412.25"
"2/3/2024","Egreso","Asesoría empresarial","Pago Adrián Estévez","173.44"
"2/3/2024","Egreso","Impuestos","igic Sauche","38.66"
"2/3/2024","Egreso","Impuestos","Igic Sauche extras","136.92"
"1/31/2024","Egreso","Seguridad social","cuota seg social","300.17"
