"FECHA","TRANSACCIÓN","CUENTA","DESCRIPCIÓN","VALOR"
"4/1/2024","Egreso","Suministros","8 Bombillas tubulares con filamento 250 lm 2100 ºk","€47.08"
"2/1/2024","Egreso","Asesoría Contable","Asesoría fiscal","€150.00"
"1/1/2024","Egreso","Teléfono/internet","Teléfono e internet","€61.52"
"9/1/2024","Ingreso","Comisiones","Innovamer productos para Bella Ciao","€37.65"
"02/01/2024 9:11:31","Egreso","Gastos oficina","prueba dos egrsos","€1.10"
"07/01/2024 15:23:19","Egreso","Suministros","Pago de cuadros y 56 euros más para gastos personales","€380.00"
"03/01/2024 15:25:55","Egreso","Gastos de Grima","Gastos personales","€200.00"
"03/01/2024 15:26:26","Ingreso","Comisiones","Comisión Bella Ciao Juan Placeres","€2,125.00"
"02/01/2024 15:27:00","Egreso","Gastos oficina","Pago primer plazo ordenador","€293.28"
"02/01/2024 15:28:07","Egreso","Gastos de Grima","Personales","€500.00"
"01/01/2024 17:38:06","Egreso","Almacenamiento nube","iCloud","€9.99"
"05/01/2024 17:39:16","Egreso","Gasolina","Petroprix","€29.79"
"10/01/2024 11:27:56","Egreso","Suministros","Tiras neón para arcos. Dielca","€513.00"
"10/01/2024 8:20:21","Egreso","Suministros","2 Bombillas Dielca","€9.48"
"13/01/2024 9:26:30","Egreso","Suministros","2 cuadros Ikea","€8.00"
"13/01/2024 9:29:22","Egreso","Suministros","tornillos y cáncamos Leroy","€28.91"
"12/01/2024 9:30:02","Egreso","Gastos de Grima","Consulta fisioterapia","€35.00"
"15/01/2024 9:32:25","Egreso","Gastos de Grima","Inversión Madeira Invest Club","€1,000.00"
"16/01/2024 13:47:38","Egreso","Suministros","40 Bombillas guirnaldas","€170.77"
"16/01/2024 14:08:20","Ingreso","Suministros","Devolución de cable de tira neon","€4.59"
"18/01/2024 9:11:01","Ingreso","Suministros","Suministros varios Sauche","€423.62"
"26/01/2024 13:50:15","Egreso","Suministros","Cinta y brochas para pintar neones","€13.50"
"19/01/2024 14:03:53","Egreso","Suministros","Cuerda de lino","€23.43"
"18/01/2024 14:04:34","Egreso","Suministros","Pintura Greige","€8.97"
"18/01/2024 14:05:20","Egreso","Suministros","Leroy pintura neones y cintas","€56.22"
"31/01/2024 12:25:23","Ingreso","Comisiones","Comisión Carlos Bella Ciao","€1,944.88"
