"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"100 GRAND Bar","Candy containing chocolate","  ","2.5","70.97","51.9","1","19.33","11.9","6.039","1.388","12","37","38","0","3","0","0","2","0.058","0.119","0.198","0.016","0","5","5","5","24.6","0.29","0","0.7","0","0.42","0","6.2","76","86","25","0.34","0.99","0.185","2.5","163","203","8","55","0","0.356","0.169","0.322","0.329","1.439","1.026","4.314","3.751","0.183","5.769","0.004","0","1.259","0.129","0","0","0","0","0","6.1"
"3 MUSKETEERS Bar","Candy containing chocolate","436","2.6","77.77","66.89","1.5","12.75","8.646","2.373","0.316","5","20","20","0","0","0","0","1","0.034","0.056","0.23","0.015","0","4","4","4","12.2","0.16","0","0.2","0","0.98","0","2.9","54","69","29","0.67","0.55","0.155","1.9","133","194","7","106","0","0.216","0.078","0.045","0.085","0.093","0.295","3.699","3.911","0.017","2.346","0.001","0","0.306","0.01","0","0","0","0","0","5.8"
"3 Musketeers Truffle Crisp Bar","Candy containing chocolate","538","6.41","63.15","57.69","0","28.85","19.23","5.536","1.091","18","46","46","0","0","0","0","5","0.089","0.239","0.306","0.028","0","9","9","9","36.6","0.6","0","0","0","0.6","0","5.8","150","165","50","1.88","1.83","0.391","3.6","296","63","16","163","0","0.287","0.095","0.287","0.365","2.52","1.651","6.984","6.959","0.331","5.205","0","0","0.991","0.1","0","0","0","0","0","0.18"
"Abalone, cooked, NS as to cooking method","Shellfish","158","20.38","7.26","0.03","0","4.59","0.681","1.668","1.639","101","2","2","0","0","0","0","0","0.204","0.096","1.699","0.17","0","6","6","6","77.5","0.83","0","2.8","0","5.2","0","31.7","37","227","57","3.81","0.98","0.234","53.4","299","664","0","0","0","0","0","0","0","0","0.028","0.482","0.143","0.037","1.615","0.015","0","1.337","0.187","0.007","0","0.058","0.049","0","65.11"
"Abalone, floured or breaded, fried","Shellfish","242","18.24","15.53","0.91","0.6","11.38","1.842","4.378","4.288","111","17","17","0","0","1","0","49","0.255","0.177","2.173","0.151","8","10","24","18","83.8","0.7","0","1.4","0.2","4.71","0","32","59","211","50","3.69","1.06","0.217","46.2","263","610","0","0","0","0","0","0","0.001","0","0.024","1.285","0.462","0.07","4.265","0.039","0","3.684","0.489","0.005","0.018","0.043","0.037","0.006","52.37"
"Abalone, steamed or poached","Shellfish","209","34.05","11.97","0","0","1.51","0.297","0.213","0.207","169","4","4","0","0","0","0","0","0.359","0.189","2.688","0.269","0","7","7","7","129.4","1.31","0","3.2","0","7.96","0","45.8","62","284","96","5.72","1.63","0.332","89.2","448","939","0","0","0","0","0","0","0","0","0.046","0.205","0.042","0.04","0.173","0","0","0.014","0","0.012","0","0.098","0.082","0","48.47"
"Adobo, with noodles","Poultry mixed dishes","172","16.89","8.16","0.03","0.4","7.66","2.479","3.469","0.973","72","4","4","0","0","0","0","0","0.192","0.204","3.059","0.216","0","3","3","3","57.1","0.43","0","0.1","0.3","0.2","0","0","15","149","18","0.99","2.39","0.085","23.1","200","510","0","0","0","0","0","0","0.004","0.004","0.071","1.677","0.697","0.353","3.072","0.04","0","0.867","0.046","0","0.04","0","0","0","65.25"
"Adobo, with rice","Poultry mixed dishes","181","17.68","8.88","0.03","0.2","7.94","2.58","3.607","1.022","75","4","4","0","0","0","0","0","0.242","0.213","3.589","0.25","17","4","33","21","59.2","0.44","0","0.1","0.4","0.21","0","0","18","161","21","1.34","2.54","0.096","24.7","216","522","0","0","0","0","0","0","0.005","0.004","0.074","1.749","0.722","0.366","3.196","0.041","0","0.909","0.05","0","0.041","0","0","0","63.32"
"Agave liquid sweetener","Sugars and honey","310","0.09","76.37","68.03","0.2","0.45","0","0","0","0","0","8","0","94","0","0","0","0.122","0.165","0.689","0.234","0","30","30","30","13.3","0","0","17","0","0.98","0","22.5","1","1","1","0.09","0.01","0.009","1.7","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.94"
"Air filled fritter or fried puff, without syrup, Puerto Rican style","Doughnuts, sweet rolls, pastries","435","6.46","50.21","33.95","0.6","23.75","4.652","10.698","7.347","126","201","211","0","117","3","0","173","0.138","0.254","1.152","0.065","21","16","52","37","89","0.28","0","0","1.4","2.65","0","23.6","25","91","10","1.61","0.59","0.061","17.8","73","587","0","0","0","0.001","0","0.001","0.002","0","0.02","2.866","1.612","0.094","10.538","0.054","0","6.589","0.652","0","0.064","0","0.004","0.02","17.67"
"Alcoholic malt beverage","Beer","58","0.9","0.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.09","1.1","0.09","0","18","18","18","10.1","0.02","0","0","0","0","0","0","8","32","12","0.03","0.01","0.008","0.6","62","4","0","0","7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91"
"Alcoholic malt beverage, higher alcohol, sweetened","Beer","88","0","8.86","8.6","0","0","0","0","0","0","0","0","0","0","0","0","1","0.006","0.009","0.2","0.019","0","4","4","4","3.9","0.01","0","2.5","0","0.02","0","0","4","7","4","0.03","0.01","0.01","0.3","24","5","0","0","7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.44"
